TS,HA,Error,
90.0,9.0,-1.8170195960160385,
90.0,8.0,-0.115364358832732,
90.0,7.0,1.3196356411672703,
90.0,6.0,-0.2515002796909336,
90.0,5.0,-0.2515002796909336,
90.0,4.0,-0.2515002796909336,
90.0,3.0,-0.2515002796909336,
90.0,2.0,-0.2515002796909336,
90.0,1.0,-0.2515002796909336,
90.0,0.0,-0.2515002796909336,
91.0,10.0,1.2656378463323712,
91.0,9.0,-0.01726792996210591,
91.0,8.0,0.4831295125017476,
91.0,7.0,-0.2604308145306291,
91.0,6.0,-0.017267929962102357,
91.0,5.0,0.4831295125017476,
91.0,4.0,-0.2604308145306291,
91.0,3.0,-0.017267929962102357,
91.0,2.0,0.4831295125017476,
91.0,1.0,-0.2604308145306291,
91.0,0.0,-0.017267929962102357,
92.0,10.0,1.1324928592502133,
92.0,9.0,-0.08991847390955598,
92.0,8.0,-0.08991847390955598,
92.0,7.0,-0.08991847390955598,
92.0,6.0,-0.08991847390955598,
92.0,5.0,-0.08991847390955598,
92.0,4.0,-0.08991847390955598,
92.0,3.0,-0.08991847390955598,
92.0,2.0,-0.08991847390955598,
92.0,1.0,-0.08991847390955598,
92.0,0.0,-0.08991847390955598,
93.0,10.0,1.2746666781842642,
93.0,9.0,-0.376282855533443,
93.0,8.0,-0.22187048749825067,
93.0,7.0,-0.22187048749825067,
93.0,6.0,-0.22187048749825067,
93.0,5.0,-0.22187048749825067,
93.0,4.0,-0.22187048749825067,
93.0,3.0,-0.22187048749825067,
93.0,2.0,-0.22187048749825067,
93.0,1.0,-0.22187048749825067,
93.0,0.0,-0.22187048749825067,
94.0,10.0,1.50209553875559,
94.0,9.0,-0.2815174418606645,
94.0,8.0,-0.2364328465844281,
94.0,7.0,-0.2364328465844281,
94.0,6.0,-0.2364328465844281,
94.0,5.0,-0.2364328465844281,
94.0,4.0,-0.2364328465844281,
94.0,3.0,-0.2364328465844281,
94.0,2.0,-0.2364328465844281,
94.0,1.0,-0.2364328465844281,
94.0,0.0,-0.2364328465844281,
95.0,10.0,0.5140068072176192,
95.0,9.0,0.13719773255795076,
95.0,8.0,0.1818314818814173,
95.0,7.0,0.40856715341556793,
95.0,6.0,0.40856715341556793,
95.0,5.0,0.40856715341556793,
95.0,4.0,0.40856715341556793,
95.0,3.0,0.40856715341556793,
95.0,2.0,0.40856715341556793,
95.0,1.0,0.40856715341556793,
95.0,0.0,0.40856715341556793,
96.0,10.0,6.630000000000003,
96.0,9.0,4.186743419533659,
96.0,8.0,2.304561674276915,
96.0,7.0,-0.08437028439032801,
96.0,6.0,-0.7113864332102757,
96.0,5.0,0.3427138897643438,
96.0,4.0,0.1490346054635978,
96.0,3.0,0.10789795618085662,
96.0,2.0,0.10789795618085662,
96.0,1.0,0.10789795618085662,
96.0,0.0,0.10789795618085662,
97.0,10.0,0.3999999999999986,
97.0,9.0,1.078722390484998,
97.0,8.0,-0.42222748813271593,
97.0,7.0,-0.6647709091890732,
97.0,6.0,0.15545630480957584,
97.0,5.0,0.5554563048095744,
97.0,4.0,0.013615874353202884,
97.0,3.0,-0.6197337709194741,
97.0,2.0,-0.607286110235659,
97.0,1.0,-0.607286110235659,
97.0,0.0,-0.607286110235659,
98.0,10.0,-0.006285347075198899,
98.0,9.0,-1.8290917069654746,
98.0,8.0,0.32504394350007715,
98.0,7.0,3.8948081255490195,
98.0,6.0,-1.4243708523192034,
98.0,5.0,3.0207097870001576,
98.0,4.0,-1.8604383257230843,
98.0,3.0,3.033137637444703,
98.0,2.0,1.6495616742769137,
98.0,1.0,-2.659543695190422,
98.0,0.0,-1.6698793696223397,
99.0,10.0,0.6272681512602034,
99.0,9.0,-2.4005571867464113,
99.0,8.0,-3.3034905696753363,
99.0,7.0,1.6128229047994154,
99.0,6.0,0.6847094331333103,
99.0,5.0,-0.2430778104087956,
99.0,4.0,-0.2430778104087956,
99.0,3.0,-0.2430778104087956,
99.0,2.0,-0.2430778104087956,
99.0,1.0,-0.2430778104087956,
99.0,0.0,-0.2430778104087956,
100.0,10.0,-0.06646353503879965,
100.0,9.0,-0.8511531743908343,
100.0,8.0,-2.8129940020686455,
100.0,7.0,-0.9087125967182104,
100.0,6.0,-0.6303468878023075,
100.0,5.0,-0.3405223949501064,
100.0,4.0,-0.12478659049240548,
100.0,3.0,-0.12478659049240548,
100.0,2.0,-0.12478659049240548,
100.0,1.0,-0.12478659049240548,
100.0,0.0,-0.12478659049240548,
101.0,10.0,-2.7633609189237873,
101.0,9.0,-5.353490569675333,
101.0,8.0,1.397059507021119,
101.0,7.0,-1.4390005536780066,
101.0,6.0,-1.1745205935104046,
101.0,5.0,-0.5481176291831638,
101.0,4.0,-0.29307781040879277,
101.0,3.0,-0.29307781040879277,
101.0,2.0,-0.29307781040879277,
101.0,1.0,-0.29307781040879277,
101.0,0.0,-0.29307781040879277,
102.0,10.0,-0.07515709624783895,
102.0,9.0,-0.2289205803463652,
102.0,8.0,2.361258772425984,
102.0,7.0,-2.4336656494854196,
102.0,6.0,-0.8093968187970297,
102.0,5.0,1.6828229047994157,
102.0,4.0,0.7547094331333106,
102.0,3.0,-0.837140861657808,
102.0,2.0,-0.42811762918316276,
102.0,1.0,0.5174366171152514,
102.0,0.0,-0.837140861657808,
103.0,10.0,-0.38751615510704696,
103.0,9.0,0.7289490147462523,
103.0,8.0,-1.1832565804663346,
103.0,7.0,-0.8728416799745702,
103.0,6.0,-0.14971646464045563,
103.0,5.0,-0.14971646464045563,
103.0,4.0,-0.14971646464045563,
103.0,3.0,-0.19632377489031327,
103.0,2.0,-0.19632377489031327,
103.0,1.0,-0.19632377489031327,
103.0,0.0,-0.19632377489031327,
104.0,10.0,-0.02290286244129902,
104.0,9.0,-1.8965002796909367,
104.0,8.0,-1.9204147681347763,
104.0,7.0,-0.21284167997457004,
104.0,6.0,-1.1847098221139802,
104.0,5.0,-1.735618706107065,
104.0,4.0,0.6282541065429825,
104.0,3.0,-1.1847098221139802,
104.0,2.0,-1.735618706107065,
104.0,1.0,0.46367622510968687,
104.0,0.0,-1.1847098221139802,
105.0,10.0,1.4491872287580811,
105.0,9.0,-0.050430814530628254,
105.0,8.0,-0.050430814530628254,
105.0,7.0,-0.050430814530628254,
105.0,6.0,-0.050430814530628254,
105.0,5.0,-0.050430814530628254,
105.0,4.0,-0.050430814530628254,
105.0,3.0,-0.050430814530628254,
105.0,2.0,-0.050430814530628254,
105.0,1.0,-0.050430814530628254,
105.0,0.0,-0.050430814530628254,
106.0,10.0,1.309887456839732,
106.0,9.0,0.5836158743532067,
106.0,8.0,-0.09934161601787395,
106.0,7.0,-0.09934161601787395,
106.0,6.0,-0.09934161601787395,
106.0,5.0,-0.09934161601787395,
106.0,4.0,-0.09934161601787395,
106.0,3.0,-0.09934161601787395,
106.0,2.0,-0.09934161601787395,
106.0,1.0,-0.09934161601787395,
106.0,0.0,-0.09934161601787395,
107.0,10.0,0.28052000725935144,
107.0,9.0,-0.23162003911595264,
107.0,8.0,-0.8311253688352558,
107.0,7.0,-0.0851490642209285,
107.0,6.0,-0.0851490642209285,
107.0,5.0,-0.0851490642209285,
107.0,4.0,-0.0851490642209285,
107.0,3.0,-0.0851490642209285,
107.0,2.0,-0.0851490642209285,
107.0,1.0,-0.0851490642209285,
107.0,0.0,-0.0851490642209285,
108.0,10.0,0.6462759080959337,
108.0,9.0,-0.03154297087998259,
108.0,8.0,-0.07210204381913599,
108.0,7.0,-0.07210204381913599,
108.0,6.0,-0.07210204381913599,
108.0,5.0,-0.07210204381913599,
108.0,4.0,-0.07210204381913599,
108.0,3.0,-0.07210204381913599,
108.0,2.0,-0.07210204381913599,
108.0,1.0,-0.07210204381913599,
108.0,0.0,-0.07210204381913599,
109.0,10.0,1.5112759080959286,
109.0,9.0,-0.14710204381913883,
109.0,8.0,-0.14710204381913883,
109.0,7.0,-0.14710204381913883,
109.0,6.0,-0.14710204381913883,
109.0,5.0,-0.14710204381913883,
