Graph 0
MCTS,ZI,ZIP,SPOT,MCTSX,MCTS10K
0,-100418.33799999999,-182683.033,-123167.70733333332,-2355352.1110000005,-2476368.7593333335,
1,-108995.12366666667,-241847.23133333333,-131492.872,-2398497.219666667,-2406885.292666667,
2,-116284.12466666667,-221868.75199999998,-132981.6416666667,-2402846.719666667,-2403776.0120000006,
3,-120902.44899999998,-222979.66966666662,-129227.1173333333,-2408766.651333334,-2407746.178,
4,-104351.28533333335,-208619.225,-122570.87599999996,-2409986.838333333,-2406253.200666667,
5,-129549.95699999998,-212300.142,-134982.92633333334,-2393953.0076666665,-2407049.729,
6,-109296.97866666668,-222415.42599999998,-126104.16833333332,-2409547.8540000007,-2418880.007666667,
Graph 7
MCTS,ZI,ZIP,SPOT,MCTSX,MCTS10K
0,-3243189.736666667,-3139585.9256666675,-3166979.624,-3743159.9116666676,-3733527.4176666667,
1,-3256944.443333333,-3140581.0526666665,-3172202.605999999,-3725030.9153333325,-3724731.8496666653,
2,-3251012.7279999997,-3147559.346666667,-3172856.420333334,-3719926.3999999994,-3724441.1866666665,
3,-3252159.68,-3148247.604,-3172843.2390000005,-3723813.514000001,-3726732.6676666657,
4,-3255362.9163333345,-3152837.2036666665,-3175905.751333333,-3730938.4933333327,-3726440.661333333,
5,-3245327.7166666677,-3152441.347333333,-3172177.0456666667,-3724044.3050000006,-3726027.9583333335,
6,-3252372.8806666667,-3147172.0426666667,-3174645.9596666666,-3726256.286,-3731347.017333332,
Graph 8
MCTS,ZI,ZIP,SPOT,MCTSX,MCTS10K
0,-3343608.0749999997,-3322268.9573333333,-3290147.331333333,-6098512.023666666,-6209896.176999999,
1,-3365939.5656666667,-3382428.285333333,-3303695.478333333,-6123528.135333334,-6131617.142333332,
2,-3367296.8526666667,-3369428.098333333,-3305838.064,-6122773.1203333335,-6128217.198333333,
3,-3373062.1296666665,-3371227.273333333,-3302070.3559999997,-6132580.166999999,-6134478.847333333,
4,-3359714.2003333336,-3361456.4296666672,-3298476.627666667,-6140925.330666666,-6132693.861999998,
5,-3374877.673666666,-3364741.488666666,-3307159.9703333345,-6117997.312333333,-6133077.686999998,
6,-3361669.86,-3369587.4680000003,-3300750.1289999993,-6135804.140000001,-6150227.024,
Graph 9
MCTS,ZI,ZIP,SPOT,MCTSX,MCTS10K
0,99.28100000000002,98.70233333333336,99.125,118.40633333333334,117.64466666666668,
1,99.22533333333335,98.2816666666667,99.06633333333329,116.92833333333333,116.81499999999998,
2,99.17100000000002,98.42333333333336,99.05466666666668,116.80933333333333,116.85366666666667,
3,99.138,98.41233333333335,99.08133333333332,116.88799999999998,116.88333333333334,
4,99.25633333333336,98.51199999999999,99.12833333333334,117.01533333333332,116.796,
5,99.07766666666672,98.49300000000001,99.04166666666666,116.83533333333335,116.9413333333333,
6,99.21933333333335,98.42033333333333,99.10266666666669,116.96266666666666,116.97466666666668,
